Tweet,UserHandle,Party,Issue,Stance
welcome supremecourt upholding righttoprivacy as fundamental right a huge step for upholding individual freedom civil liberty,Naveen_Odisha,Biju Janata Dal,RightToPrivacy SC Verdict,Neutral
happy to waive tax on USER_MENTION film to attract inspire youth all odia films in my state are also exempt from tax to boost the sir this will stay pinned to my profile till you respond USER_MENTION USER_MENTION giantrefugees rightofpassage URL,Naveen_Odisha,Biju Janata Dal,GST,Neutral
thank members of the house for passage of state gstbill seek their continued cooperation for smooth transition to new tax system,Naveen_Odisha,Biju Janata Dal,GST,Neutral
spoke to pm USER_MENTION drew attention to problems due to demonetisation sought directions to allow dccbs to receive old notes,Naveen_Odisha,Biju Janata Dal,Demonetisation,Neutral
welcome demonetisation bold step by USER_MENTION to curb black money fake currency terror funding,Naveen_Odisha,Biju Janata Dal,Demonetisation,Neutral
thanked members of odisha assembly for their support in ratifying gst a new chapter in indirect tax reform regimen,Naveen_Odisha,Biju Janata Dal,GST,Neutral
it was great to receive prime minister USER_MENTION in bihar though it was the concluding session of centenary celebration of champaran satyagrah pm urged the people to continue the mission of swachhagrah to develop a clean india as dreamt by mahatma gandhi,rsprasad,BJP,Swacch Bharat,Agreement
under the leadership of pm USER_MENTION rise as a global power in many areas is evident that was beside the point but ill bite from the article the government has taken host of steps to curb imports push local demand with initiatives like make in india implementation of the gst and infrastructure projects to encourage the domestic market,rsprasad,BJP,GST,Agreement
awareness about clean india has started to show the construction of toilets under swachh bharat abhiyan in bihars gaya has made life easier swachhbharatmissionpic.twitter.com oeba7wgx0v,rsprasad,BJP,Swacch Bharat,Agreement
to spread awareness about menstrual hygiene vle manju of common service centre is working constantly to provide better health and hygiene to women breaking massive lapse in aadhar authentication fake finger print racket caught in rajasthan,rsprasad,BJP,Aadhar linking,Agreement
awareness about clean india has started to show the construction of toilets under swachh bharat abhiyan in purnea of has made life easier for people swachhbharatmissionpic.twitter.com,rsprasad,BJP,Swacch Bharat,Agreement
do you know afghanistan has declared tripletalaq invalid and prescribed rules to regulate,rsprasad,BJP,Triple Talaq SC verdict,Agreement
vles of USER_MENTION organized a awareness campaign on womens hygiene and cervical cancer at a government school in karimnagar district in telangana where sanitary pads were also distributed to school girls streeswabhimanpic.twitter.com zcl6zuk8qx today on the day of clean india pakkhada dharmendra pratap choudhary director of the common service center alerted the people of krishna garh chowk sultanganj with cleanliness drive with citizens and students in which a lot of people were involved USER_MENTION cscegov_,rsprasad,BJP,Swacch Bharat,Agreement
under soil health card scheme crore cards have been distributed to the farmers digitalindiapic.twitter.com r9ep1oslvj a young job of the countrys youth now amit shah has also said in the parliament earn hard work even if it is special noteworthy gst kill prisons and inflation medicines or the countrys security price all these things are kept alive till what happened indias dreams were not found in hundred days from bjp,rsprasad,BJP,GST,Agreement
to provide affordable and good quality sanitary pads to the women of telangana vle parameswari with the help of USER_MENTION has set up sanitary pad manufacturing unit for better health and hygiene of womens streeswabhimanpic.twitter.com fiecjqvhlr health camp was organized on the day of the free india of the clean india panchakhada and under the collective program of drug delivery sultanganj in which dr j the camp was conducted by dharmendra pratap chaudhary common service center by p singh incharge referral hospital and dr rajiv,rsprasad,BJP,Swacch Bharat,Agreement
years ago congress party had a great opportunity to liberate the muslim women and stand for their dignity but congress preferred vote bank politics over women empowerment USER_MENTION,rsprasad,BJP,TripleTalaqBill,Agreement
tripletalaqbill will help in boosting the self respect of muslim women presidentkovind in his address to,rsprasad,BJP,TripleTalaqBill,Agreement
many muslim women met me in patna and expressed appreciation for the work being done by our government for them they shared the fear humiliation and pain they have to suffer because of tripletalaq it was reassuring to see the joy on their,rsprasad,BJP,TripleTalaqBill,Agreement
no one can hack into your bank account just by knowing your aadhaar number illegal aadhaar operators using hacking software have bypassed uidai security leaving the agency clueless over crores of identities USER_MENTION reports aadhaar uidai hack hackingsoftware full report URL,rsprasad,BJP,Aadhar linking,Agreement
in shah bano case rajiv gandhi did injustice with muslim women in his son rahulgandhi has not changed his negative stand towards muslim women by not allowing tripletalaqbill to be passed in rajya,rsprasad,BJP,TripleTalaqBill,Agreement
the congress party which has shown its double standards on the issue of women empowerment by not letting the tripletalaqbill in rajya sabha is now accusing our govt about negativity from,rsprasad,BJP,TripleTalaqBill,Agreement
it is very disappointing to see the way congress party opposed the discussion on tripletalaqbill in rajya sabha this bill is for the empowerment of,rsprasad,BJP,TripleTalaqBill,Agreement
sweets offered by these muslim women on passing of the tripletalaqbill gave me immense satisfaction and joy for having done something historic for the empowerment of women in,rsprasad,BJP,TripleTalaqBill,Agreement
a group of muslim women and men met me today to share their happiness over passing of tripletalaqbill by lok,rsprasad,BJP,TripleTalaqBill,Agreement
my interaction with muslim women yesterday after getting the tripletalaqbill passed in lok sabha,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill we are empowering people of india through programs like digitalindia USER_MENTION and skill india we cannot allow practice of tripletalaq in a progressive,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill the law provides for imprisonment of people who practice tripletalaq subsistence allowance for wife and children and custody of minor children to,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill the issue of tripletalaq is not about religion or faith or worship it is about gender justice gender dignity and gender,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill when major muslim nations have regulated tripletalaq by putting in place a mechanism for divorce then why should a secular country like india not wake up to the injustice inflicted upon the victims of triple,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill many major muslim countries like bangladesh indonesia egypt morocco turkey iran tunisia afghanistan and pakistan have regulated,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill even after the supreme court judgment practice of tripletalaq continued a law was needed to stop this by taking legal action against those who practiced triple,rsprasad,BJP,TripleTalaqBill,Agreement
decoding tripletalaqbill essence of the judgment of the supreme court on instant triple,rsprasad,BJP,TripleTalaqBill,Agreement
my appeal to all is tripletalaqbill should not be not looked at from any political party religion or vote bank,rsprasad,BJP,TripleTalaqBill,Agreement
modi government resolves to stand with women of this country and uphold their dignity equality and justice i want to congratulate shayara bano for the firmness with which she took up the cause of tripletalaq modigovtempowerswomen,rsprasad,BJP,Triple Talaq SC verdict,Agreement
sharing my reply in lok sabha today during the discussion on muslim women protection of rights on marriage bill modigovtempowerswomen tripletalaqbill URL,rsprasad,BJP,TripleTalaqBill,Agreement
sharing my speech during the introduction of muslim women protection of rights on marriage bill in the lok sabha modigovtempowerswomen tripletalaqbill URL,rsprasad,BJP,TripleTalaqBill,Agreement
govt of USER_MENTION has created history by bringing tripletalaqbill it is a great day for securing justice parity and dignity of women,rsprasad,BJP,TripleTalaqBill,Agreement
no one can understand the pain of triple talaq than the muslim women it is a great day for them tripletalaqbill USER_MENTION even supremecourt has said as legal said dowry law is missused.what u did nothing fakecases,rsprasad,BJP,TripleTalaqBill,Agreement
our prime minister USER_MENTION and senior leaders have always stood firmly with the muslim women to secure their rights and dignity by ending triple talaq modigovtempowerswomen USER_MENTION USER_MENTION USER_MENTION,rsprasad,BJP,TripleTalaqBill,Agreement
the government of USER_MENTION has stood firmly for safeguarding the rights of muslim women in the triple talaq matter lets dedicate tripletalaqbill victory to USER_MENTION USER_MENTION USER_MENTION USER_MENTION,rsprasad,BJP,TripleTalaqBill,Agreement
many major islamic counties have regulated triple talaq now the muslim women in india will also get their rights,rsprasad,BJP,TripleTalaqBill,Agreement
historic day for women empowerment in india when the government led by USER_MENTION USER_MENTION brings the bill to end triple talaq fakewomenempowerment one more toll for misuse of law is the punishment clause for habitual lier in the bill what are parameters to make sure no misuse of tripletalaqbill to score personal benefits and harass innocent husband,rsprasad,BJP,TripleTalaqBill,Agreement
cabinet has approved the proposal to introduce the muslim women protection of rights on marriage bill in the parliament,rsprasad,BJP,TripleTalaqBill,Agreement
if you are a lpg consumer you can request for refill of lpg cylinder through umang app this app offers government services on a single mobile app,rsprasad,BJP,lgp price hike,Agreement
since demonetization a total amount of rs lakh crore were deposited into the bank accounts by only lakh,rsprasad,BJP,Demonetisation,Agreement
indias gdp growth rate shows upward trend in quarter of and registers a growth rate of this coupled with strong fundamentals hold promise for a great future of indian economy under the leadership of USER_MENTION USER_MENTION indiaunstoppable,rsprasad,BJP,GDP growth,Agreement
gst will place india into a select league of counties with an advanced uniform nationwide digital taxation system we stand by gst URL we stand by gst one tax that represents a historic break through in the indian taxation system the tax burden is now simplified at all levels,rsprasad,BJP,GST,Agreement
anti profiteering measures taken by USER_MENTION will benefit consumers we stand by gst antiprofiteering measures to benefit consumers we stand by,rsprasad,BJP,GST,Agreement
laid foundation stone of income tax appellate tribunal in cuttack with chief justice of india USER_MENTION chief justice of orissa USER_MENTION see the plight of hindi on the website of rahuldev2 USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION am1tesh USER_MENTION USER_MENTION,rsprasad,BJP,GST,Agreement
according to usa based USER_MENTION USER_MENTION rises in popularity while others dip in the last yearsvia padmavati row threat to maim USER_MENTION rs crore bounty on head URL,rsprasad,BJP,Padmavati film screening,Agreement
corruption is in dna of congress that is why it never paid heed to the aspirations and demands of the common people the revision of gst rates for items of common use shows our governments responsiveness corruption is in dna of congress that is why it never paid heed to the aspirations and demands of the common people the revision of gst rates for items of common use shows our governments responsiveness,rsprasad,BJP,GST,Agreement
my compliments to gst council on the decision to reduce gst rates for essential items used by common man this is the responsive face of the USER_MENTION government that works for the convenience of the people URL,rsprasad,BJP,GST,Agreement
administered oath to fight against black money and corruption to the students of shri ram college of commerce on the occasion of,rsprasad,BJP,Demonetisation,Agreement
highest ever unearthing of black money has led to massive cleansing of indias financial system after demonetisation,rsprasad,BJP,Demonetisation,Agreement
addressed a press conference in bhopal today spoke about the efforts made by USER_MENTION govt to fight corruption and black money shared the gains of the historic decision of demonetization,rsprasad,BJP,Demonetisation,Agreement
after demonetisation digital payments have received a significant boost through the use of various modes of digital transactions,rsprasad,BJP,Demonetisation,Agreement
demonetisation curbed black money and led to massive cleansing of indias financial system,rsprasad,BJP,Demonetisation,Agreement
highest ever of black money has taken place in india after demonetization sir plz help us upswan for upgovt plz save our job and our lifeUSER_MENTION USER_MENTION USER_MENTION USER_MENTION,rsprasad,BJP,Demonetisation,Agreement
increase in digital payments since the noteouts increase in the number of income tax firms the increase of cr on getting the employee provident fund to the workers indicates that today india is on the path of integrity and the lease cash is moving towards the economy janmanship URL,rsprasad,BJP,GST,Agreement
took part in sardar patel jayanti organised by the patel sewa sangh in patna and remembered his role in unification of hrd min USER_MENTION announces reservation for obc students in ntse national talent search examination stageii conducted by ncert,rsprasad,BJP,reservation,Agreement
was deeply touched by the profound cultural welcome given to me by young bodo girls when i was going to address the booth level workers of bjp4india in kokrajhar i salute their culture diversity of bodo people all this strengthens india with the spirit of unity in saffron and beef is prohibited in the taj mahal yogi ji has visited the taj mahal islam is once again threatened by the clerics fatwa in the danger,rsprasad,BJP,Beef Ban,Agreement
addressed the booth level workers of bjp4india at kokrajhar in assam and shared the achievements of USER_MENTION saffron and beef is prohibited in the taj mahal yogi ji has visited the taj mahal islam is once again threatened by the clerics fatwa in the danger,rsprasad,BJP,Beef Ban,Agreement
appreciate the efforts of USER_MENTION towards USER_MENTION swachhatahiseva stpi under cleanliness service campaign shramdan by patna swachhatahiseva USER_MENTION USER_MENTION USER_MENTION USER_MENTION stpibbsrpic.twitter.com z8wila6leo,rsprasad,BJP,Swacch Bharat,Agreement
good look the efforts of USER_MENTION towards USER_MENTION swachhatahiseva cleanliness service USER_MENTION cleaned by the swachhatahiseva USER_MENTION USER_MENTION USER_MENTION USER_MENTION stpibbsrpic.twitter.com kqpuhhgjz4,rsprasad,BJP,Swacch Bharat,Agreement
gst has made dream of one nation one tax one market a reality,rsprasad,BJP,GST,Agreement
young muslim women met me in surat thanked USER_MENTION govt for continuous firm support to them in their young muslim women met me in surat thanked USER_MENTION govt for continuous firm support to them in their fight against,rsprasad,BJP,TripleTalaqBill,Agreement
inaugurated the bench of income tax appellate tribunal itat at surat it will boost the trade commerce in this lal chok in shri nagar kashmir after the tingra wave on september hindu samaj party demanded the removal of by the protest USER_MENTION qji3cy4fka,rsprasad,BJP,GST,Agreement
by direct benefit transfer of subsidies crore of tax payers money has been saved in years,rsprasad,BJP,GST,Agreement
USER_MENTION provided workshop on gst to students faculty members officials from different govt departments USER_MENTION provided workshop on gst to students faculty members officials from different govt departments business,rsprasad,BJP,GST,Agreement
on march govt had clearly stated in rajya sabha that it considers righttoprivacy as fundamental right aadhaar bill presupposed that privacy is a fundamental right subject to reasonable restrictions fm USER_MENTION on aadhaar bill,rsprasad,BJP,RightToPrivacy SC Verdict,Agreement
we welcome all the principles laid down by supreme court in the righttoprivacy verdict,rsprasad,BJP,RightToPrivacy SC Verdict,Agreement
supreme court has said that righttoprivacy is not absolute and is subject to reasonable restrictions,rsprasad,BJP,RightToPrivacy SC Verdict,Agreement
govt was of the view that righttoprivacy should be a fundamental right,rsprasad,BJP,RightToPrivacy SC Verdict,Agreement
workshop on gst was organised by USER_MENTION for local traders in dibrugarh,rsprasad,BJP,GST,Agreement
USER_MENTION is playing its role fully to convince traders to simplify gst sankalpsesiddhipic.twitter.com,rsprasad,BJP,GST,Agreement
USER_MENTION is playing an active role in bringing historical tax reforms such as gst to the public in an easy and easy way sankalpsesiddhipic.twitter.com oiq1dpeiss,rsprasad,BJP,GST,Agreement
gst launched by modi govt to free india from corruption black money sankalpsesiddhi,rsprasad,BJP,Demonetisation,Agreement
direct tax collections for fy has been cr higher than previous year the data reveals the efficiency of tax rise in no of honest tax payers this historical revenue receipt is a factual testimony of accountable governance under pm USER_MENTION ji,arunjaitley,BJP,GST,Agreement
the impact of demonetisation and gst implementation has resulted into higher formalisation of economy this is further substantiated by filing of more than crore it returns by tax payers during fy cr itrs in comparison to fy cr itrs,arunjaitley,BJP,GST,Agreement
chaired meeting of the gst council in new delhi march,arunjaitley,BJP,GST,Agreement
addressed a press conference after the meeting of the gst council january,arunjaitley,BJP,GST,Agreement
chairing gst council meeting in new delhi january,arunjaitley,BJP,GST,Agreement
my intervention in rajya sabha with respect to the muslim women protection of rights on marriage bill january URL,arunjaitley,BJP,TripleTalaqBill,Agreement
since the issue of price rise has been raised by some in the congress party let the data on inflation figures speak for,arunjaitley,BJP,Inflation control,Agreement
what rahul gandhi suggested was single gst rate of this is different from suggesting a cap of this was the grand stupid idea can a hawai chappal and a bmw car be taxed at the same rate,arunjaitley,BJP,GST,Agreement
birthday greetings to shri kiren rijiju ji my colleague in the union council of ministers may god bless him with a long healthy life success in all his endeavours USER_MENTION USER_MENTION i have a project plan for digital money for the digital india but i dont know how to reach my idea to governement by this project we can control the black money and can reduce the corruption USER_MENTION i am happy to bring corruption free india,arunjaitley,BJP,Demonetisation,Agreement
meeting with h.e mr lee hsien loong prime minister of singapore november USER_MENTION i have a project plan for digital money for the digital india but i dont know how to reach my idea to governement by this project we can control the black money and can reduce the corruption USER_MENTION i am happy to bring corruption free india,arunjaitley,BJP,Demonetisation,Agreement
gstcouncil by reducing late fee from to for nil returns for others has encouraged traders for gst compliance,arunjaitley,BJP,GST,Agreement
gstcouncil in a major decision today has eased the gst compliance till march with eased compliance it will help traders and enterprises,arunjaitley,BJP,GST,Agreement
gstcouncil has reduced tax rate to on restaurants this would help consumers goodandsimpletax,arunjaitley,BJP,GST,Agreement
in order to benefit small businesses consumers the gstcouncil has decided to keep only limited items in the tax slab,arunjaitley,BJP,GST,Agreement
chairing meeting of the gst council in guwahati november,arunjaitley,BJP,GST,Agreement
addressing media at the bjp central office in delhi on of demonetisation nov,arunjaitley,BJP,Demonetisation,Agreement
post demonetisation our country has moved on to a much cleaner financial system.which will benefit future generations,arunjaitley,BJP,Demonetisation,Agreement
one of the important objective of demonetisation was to make india a less cash economy thereby reduce flow of black money in the system,arunjaitley,BJP,Demonetisation,Agreement
gst the bankruptcy code are significant drivers gst will further improve indias easeofdoingbusiness rank in near future,arunjaitley,BJP,GST,Agreement
decisions of meeting of gstcouncil are aimed to make gst simpler and traders friendly,arunjaitley,BJP,GST,Agreement
chairing meeting of the gst council in new delhi oct,arunjaitley,BJP,GST,Agreement
shantaram on the birth anniversary of mahatma gandhi swachhatahiseva gandhijayantipic.twitter.com pqtlwwmtn,arunjaitley,BJP,Swacch Bharat,Agreement
sharing my views on the sc judgment in the tripletalaq case august,arunjaitley,BJP,Triple Talaq SC verdict,Agreement
undoes the injustice to muslim women who were victims of a unilateral termination of a matrimonial relationship,arunjaitley,BJP,TripleTalaqBill,Agreement
the supreme court judgment in the tripletalaq case,arunjaitley,BJP,Triple Talaq SC verdict,Agreement
chaired meeting of the gst council in delhi august i love gst law helpmewith helpmeenterthesystem itrustmypm itrustmyfm gsthelpdesk enufisenuf,arunjaitley,BJP,GST,Agreement
my speech at the gst programme in raipur chhattisgarh july,arunjaitley,BJP,GST,Agreement
congratulations to the mehbooba mufti led pdpbjp government of for making the gst constitutionally possible in the state,arunjaitley,BJP,GST,Agreement
my speech at the gst sambodhan delhi july,arunjaitley,BJP,GST,Agreement
the consumers in will benefit from gst no tax payment twice over,arunjaitley,BJP,GST,Agreement
is a consuming state and gst will help it to increase revenue for the state,arunjaitley,BJP,GST,Agreement
addressing media after meeting of the gst council delhi june,arunjaitley,BJP,GST,Agreement
chairing meeting of the gst council delhi june,arunjaitley,BJP,GST,Agreement
at the gst sammelan june,arunjaitley,BJP,GST,Agreement
gst an initiative to simplify the indirect tax regime,arunjaitley,BJP,GST,Agreement
meeting with col gen y berdiyev secretary of the nsc defence minister of turkmenistan ashgabat june meeting with col gen y berdiyev secretary of the nsc defence minister of turkmenistan ashgabat june,arunjaitley,BJP,nsc and ppf rate cuts,Agreement
chairing the meeting of gstcouncil in new delhi june mandatory gst but why nt provided yet provisional id pw for gst visted s tax office not provided yet USER_MENTION,arunjaitley,BJP,GST,Agreement
addressing media after the meeting of the gst council june,arunjaitley,BJP,GST,Agreement
chairing the meeting of the gst council in new delhi june,arunjaitley,BJP,GST,Agreement
briefing media on the gst council meeting june,arunjaitley,BJP,GST,Agreement
chairing the meeting of gst council in new delhi june inspection note stadium completed insp note spent over abv wheres d money USER_MENTION ddcafraud,arunjaitley,BJP,GST,Agreement
addressing media on the meeting of gst council in srinagar may,arunjaitley,BJP,GST,Agreement
chairing the meeting of gst council in srinagar may,arunjaitley,BJP,GST,Agreement
sharing my response in rs with respect to discussion on cgst igst utgst gst compensation bills april,arunjaitley,BJP,GST,Agreement
rajya sabha passed the gst legislations today paving way for gst implementation once again congratulations to every stakeholder,arunjaitley,BJP,GST,Agreement
gst legislations passed by rs will bring efficiency transparency in tax administration,arunjaitley,BJP,GST,Agreement
gst will transform states uts into one market administered by a gst council gst will herald an era of cooperative federalism,arunjaitley,BJP,GST,Agreement
chaired the meeting of the gst council today march,arunjaitley,BJP,GST,Agreement
sharing my response in ls with respect to discussion on the gst legislations march,arunjaitley,BJP,GST,Agreement
congratulations to every trader producer consumer of goods services in the country on the passage of historic gst laws,arunjaitley,BJP,GST,Agreement
i congratulate everyone on the passage of gstlaws by loksabha it is a landmark tax reform since independence.a historic day for all of us,arunjaitley,BJP,GST,Agreement
today a nation has passed a tax law gst bill in the lok sabha congratulating the representatives of all the states and the countrymen,arunjaitley,BJP,GST,Agreement
my speech in ls with respect to four legislations relating to the gst march,arunjaitley,BJP,GST,Agreement
drawing upon this years economic survey a balanced assessment of demonetisation by USER_MENTION martin wolf bold experiment with cash URL,arunjaitley,BJP,Demonetisation,Agreement
chairing the meeting of the gst council in udaipur february,arunjaitley,BJP,GST,Agreement
met service associations of cbec on gst their concerns and goiwill redress their hr issues met service associations of cbec on gst their concerns and goiwill redress their hr issues protect career,arunjaitley,BJP,GST,Agreement
briefing media on the meeting of the gst council january,arunjaitley,BJP,GST,Agreement
briefing media on latest direct and indirect tax figures december,arunjaitley,BJP,GST,Agreement
the gst to be implemented this year will provide for better indirect tax administration will be an efficient law against tax evasion,arunjaitley,BJP,GST,Agreement
pm USER_MENTION mustered international support against evils of black money since he took over as pm of india,arunjaitley,BJP,Demonetisation,Agreement
modi govt is determined to act against the shadow economy black money all efforts in this regard till date has been fruitful,arunjaitley,BJP,Demonetisation,Agreement
briefing media on the deliberations of the meeting of the gst council jan,arunjaitley,BJP,GST,Agreement
chairing the meeting of the gst council in new delhi january,arunjaitley,BJP,GST,Agreement
briefing media on the gst council meeting december,arunjaitley,BJP,GST,Agreement
chairing the gst council meeting in delhi december,arunjaitley,BJP,GST,Agreement
